Comunidades y Ciudades Autónomas,Provincias,Periodo,Estancia media,Provincia limpia,Periodo fecha
Andalucía,Málaga,2024M06,3.55,Málaga,2024-06-01
Andalucía,Málaga,2024M05,3.42,Málaga,2024-05-01
Andalucía,Málaga,2024M04,3.23,Málaga,2024-04-01
Andalucía,Málaga,2024M03,3.38,Málaga,2024-03-01
Andalucía,Málaga,2024M02,3.13,Málaga,2024-02-01
Andalucía,Málaga,2024M01,2.92,Málaga,2024-01-01
Andalucía,Málaga,2023M12,2.95,Málaga,2023-12-01
Andalucía,Málaga,2023M11,3.19,Málaga,2023-11-01
Andalucía,Málaga,2023M10,3.51,Málaga,2023-10-01
Andalucía,Málaga,2023M09,3.62,Málaga,2023-09-01
Andalucía,Málaga,2023M08,3.9,Málaga,2023-08-01
Andalucía,Málaga,2023M07,3.73,Málaga,2023-07-01
Andalucía,Málaga,2023M06,3.59,Málaga,2023-06-01
Andalucía,Málaga,2023M05,3.44,Málaga,2023-05-01
Andalucía,Málaga,2023M04,3.27,Málaga,2023-04-01
Andalucía,Málaga,2023M03,2.95,Málaga,2023-03-01
Andalucía,Málaga,2023M02,2.96,Málaga,2023-02-01
Andalucía,Málaga,2023M01,2.87,Málaga,2023-01-01
Andalucía,Málaga,2022M12,2.74,Málaga,2022-12-01
Andalucía,Málaga,2022M11,3.13,Málaga,2022-11-01
Andalucía,Málaga,2022M10,3.55,Málaga,2022-10-01
Andalucía,Málaga,2022M09,3.48,Málaga,2022-09-01
Andalucía,Málaga,2022M08,4.02,Málaga,2022-08-01
Andalucía,Málaga,2022M07,3.69,Málaga,2022-07-01
Andalucía,Málaga,2022M06,3.54,Málaga,2022-06-01
Andalucía,Málaga,2022M05,3.43,Málaga,2022-05-01
Andalucía,Málaga,2022M04,3.35,Málaga,2022-04-01
Andalucía,Málaga,2022M03,3.2,Málaga,2022-03-01
Andalucía,Málaga,2022M02,2.72,Málaga,2022-02-01
Andalucía,Málaga,2022M01,2.69,Málaga,2022-01-01
Andalucía,Sevilla,2026M03,2.2,Sevilla,2026-03-01
Andalucía,Sevilla,2026M02,2.05,Sevilla,2026-02-01
Andalucía,Sevilla,2026M01,2.1,Sevilla,2026-01-01
Andalucía,Sevilla,2025M12,2.05,Sevilla,2025-12-01
Andalucía,Sevilla,2025M11,2.08,Sevilla,2025-11-01
Andalucía,Sevilla,2025M10,2.06,Sevilla,2025-10-01
Andalucía,Sevilla,2025M09,1.99,Sevilla,2025-09-01
Andalucía,Sevilla,2025M08,2.05,Sevilla,2025-08-01
Andalucía,Sevilla,2025M07,1.99,Sevilla,2025-07-01
Andalucía,Sevilla,2025M06,2.01,Sevilla,2025-06-01
Andalucía,Sevilla,2025M05,2.09,Sevilla,2025-05-01
Andalucía,Sevilla,2025M04,2.12,Sevilla,2025-04-01
Andalucía,Sevilla,2025M03,2.14,Sevilla,2025-03-01
Andalucía,Sevilla,2025M02,2.03,Sevilla,2025-02-01
