RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;Rusia;Pernoctaciones;2024M11;""
Total;Rusia;Pernoctaciones;2024M10;""
Total;Rusia;Pernoctaciones;2024M09;""
Total;Rusia;Pernoctaciones;2024M08;""
Total;Rusia;Pernoctaciones;2024M07;""
Total;Rusia;Pernoctaciones;2024M06;""
Total;Rusia;Pernoctaciones;2024M05;""
Total;Rusia;Pernoctaciones;2024M04;""
Total;Rusia;Pernoctaciones;2024M03;""
Total;Rusia;Pernoctaciones;2024M02;""
Total;Rusia;Pernoctaciones;2024M01;""
Total;Rusia;Pernoctaciones;2023M12;""
Total;Rusia;Pernoctaciones;2023M11;""
Total;Rusia;Pernoctaciones;2023M10;""
Total;Rusia;Pernoctaciones;2023M09;""
Total;Rusia;Pernoctaciones;2023M08;""
Total;Rusia;Pernoctaciones;2023M07;""
Total;Rusia;Pernoctaciones;2023M06;""
Total;Rusia;Pernoctaciones;2023M05;""
Total;Rusia;Pernoctaciones;2023M04;""
Total;Rusia;Pernoctaciones;2023M03;""
Total;Rusia;Pernoctaciones;2023M02;""
Total;Rusia;Pernoctaciones;2023M01;""
Total;Rusia;Pernoctaciones;2022M12;""
Total;Rusia;Pernoctaciones;2022M11;""
Total;Rusia;Pernoctaciones;2022M10;""
Total;Rusia;Pernoctaciones;2022M09;""
Total;Rusia;Pernoctaciones;2022M08;""
Total;Rusia;Pernoctaciones;2022M07;""
Total;Rusia;Pernoctaciones;2022M06;""
Total;Rusia;Pernoctaciones;2022M05;""
Total;Rusia;Pernoctaciones;2022M04;""
Total;Rusia;Pernoctaciones;2022M03;""
Total;Rusia;Pernoctaciones;2022M02;38.348
Total;Rusia;Pernoctaciones;2022M01;40.519
Total;Suiza;Viajero;2026M03;67.057
Total;Suiza;Viajero;2026M02;50.606
Total;Suiza;Viajero;2026M01;39.912
Total;Suiza;Viajero;2025M12;51.586
Total;Suiza;Viajero;2025M11;58.220
Total;Suiza;Viajero;2025M10;141.792
Total;Suiza;Viajero;2025M09;142.783
Total;Suiza;Viajero;2025M08;99.496
Total;Suiza;Viajero;2025M07;154.699
Total;Suiza;Viajero;2025M06;118.689
Total;Suiza;Viajero;2025M05;120.291
Total;Suiza;Viajero;2025M04;128.512
Total;Suiza;Viajero;2025M03;64.844
Total;Suiza;Viajero;2025M02;50.807
Total;Suiza;Viajero;2025M01;34.194
Total;Suiza;Viajero;2024M12;45.653
Total;Suiza;Viajero;2024M11;50.541
Total;Suiza;Viajero;2024M10;139.479
Total;Suiza;Viajero;2024M09;137.166
Total;Suiza;Viajero;2024M08;98.422
Total;Suiza;Viajero;2024M07;152.258
Total;Suiza;Viajero;2024M06;110.522
Total;Suiza;Viajero;2024M05;117.609
Total;Suiza;Viajero;2024M04;106.366
Total;Suiza;Viajero;2024M03;67.218
Total;Suiza;Viajero;2024M02;47.455
Total;Suiza;Viajero;2024M01;35.231
Total;Suiza;Viajero;2023M12;43.965
Total;Suiza;Viajero;2023M11;51.337
Total;Suiza;Viajero;2023M10;128.628
Total;Suiza;Viajero;2023M09;127.504
Total;Suiza;Viajero;2023M08;98.882
Total;Suiza;Viajero;2023M07;148.103
Total;Suiza;Viajero;2023M06;101.881
Total;Suiza;Viajero;2023M05;112.091
Total;Suiza;Viajero;2023M04;108.981
Total;Suiza;Viajero;2023M03;55.193
Total;Suiza;Viajero;2023M02;41.986
Total;Suiza;Viajero;2023M01;32.016
Total;Suiza;Viajero;2022M12;36.804
Total;Suiza;Viajero;2022M11;43.220
Total;Suiza;Viajero;2022M10;118.941
Total;Suiza;Viajero;2022M09;112.907
Total;Suiza;Viajero;2022M08;98.490
Total;Suiza;Viajero;2022M07;148.126
Total;Suiza;Viajero;2022M06;99.416
Total;Suiza;Viajero;2022M05;100.169
Total;Suiza;Viajero;2022M04;90.789
Total;Suiza;Viajero;2022M03;44.190
Total;Suiza;Viajero;2022M02;33.326
Total;Suiza;Viajero;2022M01;19.706
Total;Suiza;Pernoctaciones;2026M03;229.211
Total;Suiza;Pernoctaciones;2026M02;186.345
Total;Suiza;Pernoctaciones;2026M01;144.141
Total;Suiza;Pernoctaciones;2025M12;175.532
Total;Suiza;Pernoctaciones;2025M11;209.821
Total;Suiza;Pernoctaciones;2025M10;582.680
Total;Suiza;Pernoctaciones;2025M09;537.100
Total;Suiza;Pernoctaciones;2025M08;432.794
Total;Suiza;Pernoctaciones;2025M07;682.663
Total;Suiza;Pernoctaciones;2025M06;447.051
Total;Suiza;Pernoctaciones;2025M05;417.313
Total;Suiza;Pernoctaciones;2025M04;437.637
Total;Suiza;Pernoctaciones;2025M03;207.950
Total;Suiza;Pernoctaciones;2025M02;181.200
Total;Suiza;Pernoctaciones;2025M01;132.171
Total;Suiza;Pernoctaciones;2024M12;158.354
Total;Suiza;Pernoctaciones;2024M11;189.233
Total;Suiza;Pernoctaciones;2024M10;576.866
Total;Suiza;Pernoctaciones;2024M09;544.148
Total;Suiza;Pernoctaciones;2024M08;441.191
Total;Suiza;Pernoctaciones;2024M07;689.153
Total;Suiza;Pernoctaciones;2024M06;417.611
Total;Suiza;Pernoctaciones;2024M05;416.899
Total;Suiza;Pernoctaciones;2024M04;377.703
Total;Suiza;Pernoctaciones;2024M03;236.051
Total;Suiza;Pernoctaciones;2024M02;173.917
Total;Suiza;Pernoctaciones;2024M01;136.162
Total;Suiza;Pernoctaciones;2023M12;153.965
Total;Suiza;Pernoctaciones;2023M11;197.897
Total;Suiza;Pernoctaciones;2023M10;556.985
Total;Suiza;Pernoctaciones;2023M09;498.617
Total;Suiza;Pernoctaciones;2023M08;466.034
Total;Suiza;Pernoctaciones;2023M07;677.205
Total;Suiza;Pernoctaciones;2023M06;403.316
Total;Suiza;Pernoctaciones;2023M05;418.745
Total;Suiza;Pernoctaciones;2023M04;377.899
Total;Suiza;Pernoctaciones;2023M03;189.149
Total;Suiza;Pernoctaciones;2023M02;167.744
Total;Suiza;Pernoctaciones;2023M01;133.371
Total;Suiza;Pernoctaciones;2022M12;133.615
Total;Suiza;Pernoctaciones;2022M11;169.885
Total;Suiza;Pernoctaciones;2022M10;500.962
Total;Suiza;Pernoctaciones;2022M09;449.136
Total;Suiza;Pernoctaciones;2022M08;459.603
Total;Suiza;Pernoctaciones;2022M07;661.885
Total;Suiza;Pernoctaciones;2022M06;381.996
Total;Suiza;Pernoctaciones;2022M05;350.045
Total;Suiza;Pernoctaciones;2022M04;339.515
Total;Suiza;Pernoctaciones;2022M03;160.751
Total;Suiza;Pernoctaciones;2022M02;120.667
Total;Suiza;Pernoctaciones;2022M01;75.888
Total;Otros Países Europeos;Viajero;2026M03;130.352
Total;Otros Países Europeos;Viajero;2026M02;107.155
Total;Otros Países Europeos;Viajero;2026M01;118.944
Total;Otros Países Europeos;Viajero;2025M12;114.306
Total;Otros Países Europeos;Viajero;2025M11;130.167
Total;Otros Países Europeos;Viajero;2025M10;187.051
Total;Otros Países Europeos;Viajero;2025M09;207.000
Total;Otros Países Europeos;Viajero;2025M08;222.024
Total;Otros Países Europeos;Viajero;2025M07;252.691
Total;Otros Países Europeos;Viajero;2025M06;220.308
Total;Otros Países Europeos;Viajero;2025M05;172.810
Total;Otros Países Europeos;Viajero;2025M04;156.174
Total;Otros Países Europeos;Viajero;2025M03;128.930
Total;Otros Países Europeos;Viajero;2025M02;101.520
Total;Otros Países Europeos;Viajero;2025M01;119.880
Total;Otros Países Europeos;Viajero;2024M12;103.104
Total;Otros Países Europeos;Viajero;2024M11;117.910
Total;Otros Países Europeos;Viajero;2024M10;182.121
Total;Otros Países Europeos;Viajero;2024M09;205.356
Total;Otros Países Europeos;Viajero;2024M08;206.026
Total;Otros Países Europeos;Viajero;2024M07;220.230
Total;Otros Países Europeos;Viajero;2024M06;197.907
Total;Otros Países Europeos;Viajero;2024M05;184.333
Total;Otros Países Europeos;Viajero;2024M04;159.725
Total;Otros Países Europeos;Viajero;2024M03;132.694
Total;Otros Países Europeos;Viajero;2024M02;108.579
Total;Otros Países Europeos;Viajero;2024M01;106.311
Total;Otros Países Europeos;Viajero;2023M12;103.690
Total;Otros Países Europeos;Viajero;2023M11;110.850
Total;Otros Países Europeos;Viajero;2023M10;146.458
Total;Otros Países Europeos;Viajero;2023M09;166.424
Total;Otros Países Europeos;Viajero;2023M08;177.389
Total;Otros Países Europeos;Viajero;2023M07;196.146
Total;Otros Países Europeos;Viajero;2023M06;172.649
Total;Otros Países Europeos;Viajero;2023M05;139.470
Total;Otros Países Europeos;Viajero;2023M04;139.081
Total;Otros Países Europeos;Viajero;2023M03;113.904
Total;Otros Países Europeos;Viajero;2023M02;92.304
Total;Otros Países Europeos;Viajero;2023M01;103.993
Total;Otros Países Europeos;Viajero;2022M12;102.352
Total;Otros Países Europeos;Viajero;2022M11;99.831
Total;Otros Países Europeos;Viajero;2022M10;145.433
Total;Otros Países Europeos;Viajero;2022M09;166.271
Total;Otros Países Europeos;Viajero;2022M08;156.661
Total;Otros Países Europeos;Viajero;2022M07;163.770
Total;Otros Países Europeos;Viajero;2022M06;144.417
Total;Otros Países Europeos;Viajero;2022M05;130.622
Total;Otros Países Europeos;Viajero;2022M04;119.231
Total;Otros Países Europeos;Viajero;2022M03;96.776
Total;Otros Países Europeos;Viajero;2022M02;61.792
Total;Otros Países Europeos;Viajero;2022M01;50.242
Total;Otros Países Europeos;Pernoctaciones;2026M03;395.678
Total;Otros Países Europeos;Pernoctaciones;2026M02;331.709
Total;Otros Países Europeos;Pernoctaciones;2026M01;366.638
Total;Otros Países Europeos;Pernoctaciones;2025M12;321.437
Total;Otros Países Europeos;Pernoctaciones;2025M11;363.887
Total;Otros Países Europeos;Pernoctaciones;2025M10;580.328
Total;Otros Países Europeos;Pernoctaciones;2025M09;742.841
Total;Otros Países Europeos;Pernoctaciones;2025M08;796.704
Total;Otros Países Europeos;Pernoctaciones;2025M07;949.275
Total;Otros Países Europeos;Pernoctaciones;2025M06;758.506
Total;Otros Países Europeos;Pernoctaciones;2025M05;495.429
Total;Otros Países Europeos;Pernoctaciones;2025M04;455.143
Total;Otros Países Europeos;Pernoctaciones;2025M03;371.265
Total;Otros Países Europeos;Pernoctaciones;2025M02;327.522
Total;Otros Países Europeos;Pernoctaciones;2025M01;363.898
Total;Otros Países Europeos;Pernoctaciones;2024M12;307.922
Total;Otros Países Europeos;Pernoctaciones;2024M11;338.473
Total;Otros Países Europeos;Pernoctaciones;2024M10;580.408
Total;Otros Países Europeos;Pernoctaciones;2024M09;769.960
Total;Otros Países Europeos;Pernoctaciones;2024M08;768.201
Total;Otros Países Europeos;Pernoctaciones;2024M07;848.980
Total;Otros Países Europeos;Pernoctaciones;2024M06;694.017
Total;Otros Países Europeos;Pernoctaciones;2024M05;573.307
Total;Otros Países Europeos;Pernoctaciones;2024M04;453.193
Total;Otros Países Europeos;Pernoctaciones;2024M03;417.999
Total;Otros Países Europeos;Pernoctaciones;2024M02;354.319
Total;Otros Países Europeos;Pernoctaciones;2024M01;317.735
Total;Otros Países Europeos;Pernoctaciones;2023M12;307.868
Total;Otros Países Europeos;Pernoctaciones;2023M11;324.109
Total;Otros Países Europeos;Pernoctaciones;2023M10;481.729
Total;Otros Países Europeos;Pernoctaciones;2023M09;583.423
Total;Otros Países Europeos;Pernoctaciones;2023M08;678.895
Total;Otros Países Europeos;Pernoctaciones;2023M07;771.119
Total;Otros Países Europeos;Pernoctaciones;2023M06;619.570
Total;Otros Países Europeos;Pernoctaciones;2023M05;455.061
Total;Otros Países Europeos;Pernoctaciones;2023M04;458.938
Total;Otros Países Europeos;Pernoctaciones;2023M03;367.971
Total;Otros Países Europeos;Pernoctaciones;2023M02;311.507
Total;Otros Países Europeos;Pernoctaciones;2023M01;358.726
Total;Otros Países Europeos;Pernoctaciones;2022M12;347.513
Total;Otros Países Europeos;Pernoctaciones;2022M11;346.939
Total;Otros Países Europeos;Pernoctaciones;2022M10;523.225
Total;Otros Países Europeos;Pernoctaciones;2022M09;631.716
Total;Otros Países Europeos;Pernoctaciones;2022M08;697.477
Total;Otros Países Europeos;Pernoctaciones;2022M07;736.901
Total;Otros Países Europeos;Pernoctaciones;2022M06;580.114
Total;Otros Países Europeos;Pernoctaciones;2022M05;513.472
Total;Otros Países Europeos;Pernoctaciones;2022M04;498.562
Total;Otros Países Europeos;Pernoctaciones;2022M03;369.536
Total;Otros Países Europeos;Pernoctaciones;2022M02;206.621
Total;Otros Países Europeos;Pernoctaciones;2022M01;173.440
Total;África;Viajero;2026M03;58.214
Total;África;Viajero;2026M02;49.390
Total;África;Viajero;2026M01;68.080
Total;África;Viajero;2025M12;73.851
Total;África;Viajero;2025M11;64.737
Total;África;Viajero;2025M10;80.887
Total;África;Viajero;2025M09;85.227
Total;África;Viajero;2025M08;148.788
Total;África;Viajero;2025M07;116.517
Total;África;Viajero;2025M06;82.879
Total;África;Viajero;2025M05;82.976
Total;África;Viajero;2025M04;73.781
Total;África;Viajero;2025M03;37.911
Total;África;Viajero;2025M02;60.808
Total;África;Viajero;2025M01;67.256
Total;África;Viajero;2024M12;68.028
Total;África;Viajero;2024M11;58.695
Total;África;Viajero;2024M10;73.462
Total;África;Viajero;2024M09;83.095
Total;África;Viajero;2024M08;142.567
Total;África;Viajero;2024M07;113.276
Total;África;Viajero;2024M06;74.715
Total;África;Viajero;2024M05;71.841
Total;África;Viajero;2024M04;60.679
Total;África;Viajero;2024M03;42.332
Total;África;Viajero;2024M02;56.571
Total;África;Viajero;2024M01;61.716
Total;África;Viajero;2023M12;56.184
Total;África;Viajero;2023M11;53.364
Total;África;Viajero;2023M10;69.680
Total;África;Viajero;2023M09;75.960
Total;África;Viajero;2023M08;116.747
Total;África;Viajero;2023M07;99.238
Total;África;Viajero;2023M06;66.615
Total;África;Viajero;2023M05;64.725
Total;África;Viajero;2023M04;44.908
Total;África;Viajero;2023M03;54.366
Total;África;Viajero;2023M02;50.637
Total;África;Viajero;2023M01;58.152
Total;África;Viajero;2022M12;55.953
Total;África;Viajero;2022M11;49.027
Total;África;Viajero;2022M10;64.837
Total;África;Viajero;2022M09;67.728
Total;África;Viajero;2022M08;110.101
Total;África;Viajero;2022M07;95.908
Total;África;Viajero;2022M06;58.438
Total;África;Viajero;2022M05;61.115
Total;África;Viajero;2022M04;30.760
Total;África;Viajero;2022M03;47.245
Total;África;Viajero;2022M02;39.523
Total;África;Viajero;2022M01;32.144
Total;África;Pernoctaciones;2026M03;150.833
Total;África;Pernoctaciones;2026M02;129.103
Total;África;Pernoctaciones;2026M01;180.618
Total;África;Pernoctaciones;2025M12;187.764
Total;África;Pernoctaciones;2025M11;157.839
Total;África;Pernoctaciones;2025M10;198.060
Total;África;Pernoctaciones;2025M09;218.893
Total;África;Pernoctaciones;2025M08;436.730
Total;África;Pernoctaciones;2025M07;323.739
Total;África;Pernoctaciones;2025M06;229.658
Total;África;Pernoctaciones;2025M05;227.314
Total;África;Pernoctaciones;2025M04;176.174
Total;África;Pernoctaciones;2025M03;120.089
Total;África;Pernoctaciones;2025M02;154.773
Total;África;Pernoctaciones;2025M01;167.794
Total;África;Pernoctaciones;2024M12;184.751
Total;África;Pernoctaciones;2024M11;158.898
Total;África;Pernoctaciones;2024M10;187.527
Total;África;Pernoctaciones;2024M09;221.882
Total;África;Pernoctaciones;2024M08;402.719
Total;África;Pernoctaciones;2024M07;294.009
Total;África;Pernoctaciones;2024M06;185.544
Total;África;Pernoctaciones;2024M05;175.594
Total;África;Pernoctaciones;2024M04;152.146
Total;África;Pernoctaciones;2024M03;111.547
Total;África;Pernoctaciones;2024M02;140.255
Total;África;Pernoctaciones;2024M01;156.419
Total;África;Pernoctaciones;2023M12;144.946
Total;África;Pernoctaciones;2023M11;140.759
Total;África;Pernoctaciones;2023M10;188.778
Total;África;Pernoctaciones;2023M09;187.205
Total;África;Pernoctaciones;2023M08;321.296
Total;África;Pernoctaciones;2023M07;251.678
Total;África;Pernoctaciones;2023M06;152.289
Total;África;Pernoctaciones;2023M05;152.833
Total;África;Pernoctaciones;2023M04;110.000
Total;África;Pernoctaciones;2023M03;129.576
Total;África;Pernoctaciones;2023M02;119.220
Total;África;Pernoctaciones;2023M01;136.874
Total;África;Pernoctaciones;2022M12;129.053
Total;África;Pernoctaciones;2022M11;118.308
Total;África;Pernoctaciones;2022M10;159.849
Total;África;Pernoctaciones;2022M09;162.012
Total;África;Pernoctaciones;2022M08;275.633
Total;África;Pernoctaciones;2022M07;226.287
Total;África;Pernoctaciones;2022M06;140.150
Total;África;Pernoctaciones;2022M05;150.453
Total;África;Pernoctaciones;2022M04;80.816
Total;África;Pernoctaciones;2022M03;129.023
Total;África;Pernoctaciones;2022M02;104.181
Total;África;Pernoctaciones;2022M01;100.219
Total;UE28 sin España;Viajero;2026M03;2.862.131
Total;UE28 sin España;Viajero;2026M02;2.206.989
Total;UE28 sin España;Viajero;2026M01;1.917.165
Total;UE28 sin España;Viajero;2025M12;2.025.444
Total;UE28 sin España;Viajero;2025M11;2.292.597
Total;UE28 sin España;Viajero;2025M10;4.329.736
Total;UE28 sin España;Viajero;2025M09;4.862.246
Total;UE28 sin España;Viajero;2025M08;5.571.038
Total;UE28 sin España;Viajero;2025M07;5.054.488
Total;UE28 sin España;Viajero;2025M06;4.716.549
Total;UE28 sin España;Viajero;2025M05;4.795.475
Total;UE28 sin España;Viajero;2025M04;3.804.407
Total;UE28 sin España;Viajero;2025M03;2.662.744
Total;UE28 sin España;Viajero;2025M02;2.154.825
Total;UE28 sin España;Viajero;2025M01;1.825.073
Total;UE28 sin España;Viajero;2024M12;1.895.720
Total;UE28 sin España;Viajero;2024M11;2.165.701
Total;UE28 sin España;Viajero;2024M10;4.277.218
Total;UE28 sin España;Viajero;2024M09;4.737.284
Total;UE28 sin España;Viajero;2024M08;5.497.950
Total;UE28 sin España;Viajero;2024M07;4.925.734
Total;UE28 sin España;Viajero;2024M06;4.508.616
Total;UE28 sin España;Viajero;2024M05;4.858.287
Total;UE28 sin España;Viajero;2024M04;3.635.880
Total;UE28 sin España;Viajero;2024M03;2.752.827
Total;UE28 sin España;Viajero;2024M02;2.096.462
Total;UE28 sin España;Viajero;2024M01;1.792.026
Total;UE28 sin España;Viajero;2023M12;1.868.826
Total;UE28 sin España;Viajero;2023M11;2.094.452
Total;UE28 sin España;Viajero;2023M10;4.015.396
Total;UE28 sin España;Viajero;2023M09;4.647.646
Total;UE28 sin España;Viajero;2023M08;5.257.323
Total;UE28 sin España;Viajero;2023M07;4.793.411
Total;UE28 sin España;Viajero;2023M06;4.315.582
Total;UE28 sin España;Viajero;2023M05;4.333.018
Total;UE28 sin España;Viajero;2023M04;3.468.023
Total;UE28 sin España;Viajero;2023M03;2.315.549
Total;UE28 sin España;Viajero;2023M02;1.857.190
Total;UE28 sin España;Viajero;2023M01;1.601.974
Total;UE28 sin España;Viajero;2022M12;1.664.772
Total;UE28 sin España;Viajero;2022M11;1.845.085
Total;UE28 sin España;Viajero;2022M10;3.628.462
Total;UE28 sin España;Viajero;2022M09;4.333.707
Total;UE28 sin España;Viajero;2022M08;5.020.252
Total;UE28 sin España;Viajero;2022M07;4.598.843
Total;UE28 sin España;Viajero;2022M06;4.141.074
Total;UE28 sin España;Viajero;2022M05;3.960.229
Total;UE28 sin España;Viajero;2022M04;3.000.215
Total;UE28 sin España;Viajero;2022M03;1.925.680
Total;UE28 sin España;Viajero;2022M02;1.490.629
